epoch,train_ae,train_critic,train_cycle,train_generator,train_mmd,validation_ae,validation_critic,validation_cycle,validation_generator,validation_mmd
1,0.060935175215485866,0.2838673004555958,0.18422456748468985,3.4988483490956694,0.22886107974853018,0.03525611054746499,0.27054516242033033,0.13649068848197485,2.8113182886995514,0.26495570204053426
2,0.029731068875323532,0.25854000481639566,0.12577930392807316,2.737147545606777,0.1108564668742006,0.029846201132703323,0.2498859751759841,0.1289584516789814,2.7872001220329836,0.16170688520807364
3,0.02534878309741217,0.24824013331051087,0.11002556059819124,2.5750454802455596,0.08777006845371972,0.022499374230704382,0.25063983170220744,0.10110533814228093,2.6187304688203112,0.13527287922340167
4,0.02308637235343616,0.24124311630791379,0.0979718702867747,2.4614766834568402,0.07771781130866134,0.02449349497742052,0.23797614129395012,0.09426280405701964,2.4199824467421216,0.12119451492785129
5,0.02154544717741471,0.23783679131977759,0.08780162770241179,2.3684941173079186,0.07249353366626811,0.020042741201173803,0.23468200823456928,0.08338434154282626,2.3219769539526256,0.11575586642400829
6,0.020547662886769708,0.2345872269743609,0.07893671722578299,2.284495439030849,0.06866870137385964,0.019292735266836294,0.23335561835414284,0.07410989914229264,2.189435240969901,0.10261039895282674
7,0.019836448115825994,0.23498453687496942,0.07220714567878331,2.213684857990243,0.06515681695682433,0.018700678133712855,0.24245902020034776,0.06835524928094394,2.153188873791503,0.10358266832042316
8,0.019101341713492037,0.23622177461606647,0.06646758909886528,2.1448261040105576,0.060694124619538915,0.017645314546806325,0.2466709889052061,0.06380409115161398,1.973837596721368,0.10003020720251764
9,0.018398148369577143,0.2341974624070581,0.06202825708701787,2.091439917084359,0.05598463144043495,0.01733298116393547,0.23164029446388057,0.05555449912059882,1.9323683089449322,0.08907610801205879
10,0.017733677343593976,0.23517660613374,0.05898474866209737,2.0529549547718293,0.052412684916970556,0.0185102782200962,0.24064144498141776,0.05555704831278036,2.004598205754329,0.08300362651213884
11,0.01724316119765688,0.23588065629021013,0.0567725956534852,2.025473112315339,0.050368438177709605,0.01778904435127454,0.23857473164557133,0.06053287113439941,2.011169976667169,0.07922973286050894
12,0.0168012613589793,0.2361063514174469,0.05470410651769539,1.9972552153164516,0.047366803117475945,0.01675046476518021,0.23653768454416188,0.059506072580374915,2.0640361089329295,0.07504285076987648
13,0.016348860787581052,0.23683260241648227,0.05287395902327574,1.9712060215126412,0.0447536929842614,0.0162437838051548,0.24238525985193315,0.04963606063915721,1.9148380953728674,0.07210660635945625
14,0.01601923269081746,0.23627744154160688,0.05165634986235393,1.958048003049063,0.043886576377194945,0.01676000662500054,0.2459753410086715,0.050592619543720345,1.9412258225056185,0.07143624258744492
15,0.01571424495152275,0.2375774055984041,0.04996264067443522,1.9337963899322872,0.04093229241329607,0.01451130498677552,0.24987451196835445,0.05131739889578669,1.893589380039926,0.0641828424649328
16,0.015448315678465233,0.2379359565125953,0.048683046670405856,1.9181705883456939,0.03979333514102982,0.01482271358131084,0.2611552201281364,0.04719638892876399,2.0186728378083685,0.0650141683404631
