epoch,train_ae,train_critic,train_cycle,train_generator,train_mmd,validation_ae,validation_critic,validation_cycle,validation_generator,validation_mmd
1,0.44308766598502797,0.35132904707764584,0.7003606421252092,12.281607682506243,2.083489302545786,0.2399150994606316,0.25559953646734357,0.5406906325370073,9.586441785097122,1.857063677161932
2,0.17718248643601933,0.34338622555757564,0.38898456500222284,7.153109947840373,1.4367968179285526,0.1753972675651312,0.283814431168139,0.40512602496892214,7.49389722943306,1.4102107360959053
3,0.13558410767776272,0.33691538544371724,0.32356574401880306,6.067859257260959,1.1629464278618495,0.1491228372324258,0.3472210746258497,0.3700937256217003,6.663287997245789,1.1731336563825607
4,0.11588170689841111,0.3260723231360316,0.29318355054905015,5.522576878468196,0.9935822772483031,0.13563045719638467,0.3308185776695609,0.37120042834430933,6.579497382044792,1.0902726203203201
5,0.1030409389641136,0.3037873242671291,0.27523304366817075,5.215804144740105,0.8743481201430162,0.11383513570763171,0.3729550652205944,0.33120664209127426,5.9636708945035934,0.9297800809144974
6,0.09292222171400984,0.2924803253263235,0.25435124104842544,4.88538325826327,0.7697880094250044,0.10565061983652413,0.39338070806115866,0.3199356743134558,5.839736610651016,0.9869735166430473
7,0.08770628133788705,0.2846228146615128,0.24652978979671994,4.728821312387784,0.6757337537904581,0.10734931426122785,0.5042031919583678,0.29672419652342796,5.62877881526947,0.864046361297369
8,0.08088135587361951,0.27099337133889395,0.23313722371434173,4.529876388609409,0.6154253631830215,0.09279448096640408,0.3818643558770418,0.3011147170327604,5.408674165606499,0.769883681088686
9,0.07835340065260728,0.28449952183291316,0.22922799798349539,4.497648989160855,0.605635080486536,0.09402805380523205,0.4036663640290499,0.27674762066453695,5.450315102934837,0.7519293092191219
10,0.07475505881787588,0.26961916995545226,0.21698508240903416,4.251108179489772,0.5200417364637057,0.09661434264853597,0.42644326854497194,0.2657508524134755,5.390508607029915,0.7542119100689888
11,0.07121917178543906,0.2684267821411292,0.21310686087235808,4.1858855212728185,0.5048919431865215,0.08384296647273004,0.42157759610563517,0.2675767382606864,4.949773475527763,0.6743382513523102
12,0.0691157877445221,0.2657893016779174,0.2098664465981225,4.146970063447952,0.47689027960101765,0.0800318003166467,0.4913356192409992,0.24633298255503178,4.679275758564472,0.671640682965517
13,0.06613721407484263,0.258683207212016,0.2044897971985241,4.026126871506373,0.428143718590339,0.0764585668221116,0.4844276234507561,0.25598143599927425,4.715314224362373,0.6472555994987488
14,0.06390876482085635,0.25405557399305206,0.20205929890895882,3.9938042188684144,0.41583050539096195,0.07449850277043879,0.5181447332724929,0.26178643200546503,4.681351654231548,0.659595362842083
