epoch,train_ae,train_critic,train_cycle,train_generator,train_mmd,validation_ae,validation_critic,validation_cycle,validation_generator,validation_mmd
1,0.04600893489981504,0.2481667397209211,0.1655837542823099,3.4210959854698055,0.24623963588364323,0.031090647019021433,0.24195703592441037,0.14459146459115016,3.24607585262677,0.19055391436607524
2,0.027594347166374385,0.23100479264136894,0.10106146578045297,2.615651405368989,0.11386149431061969,0.028771051755624426,0.22510990662245584,0.08531139629466045,2.2516973919507324,0.13478339577328424
3,0.023935146676704173,0.22851870156045573,0.07981054915143951,2.376912073719118,0.09095932926792881,0.025833650341072687,0.22562444582831204,0.07584376349650702,2.261380185270757,0.11413284257333975
4,0.021826609694564354,0.23013548739878686,0.06879272724029885,2.2333601782293164,0.0760528145922253,0.018661742556800233,0.23947724238557405,0.06407682114123459,2.179641930770938,0.09748838334556559
5,0.020522603052671395,0.23108099910727734,0.06186289960036589,2.138361884815364,0.06538075254605859,0.019449832178177886,0.23529938333755204,0.05898462394102609,2.0812062184868165,0.08341902064973483
6,0.01949149994006388,0.2320403808031241,0.05705560703609568,2.0790142562569947,0.05890157687959658,0.017446047381433002,0.2431432967306422,0.05679958028314341,2.0975833182040873,0.08049918535407682
7,0.018579539047034792,0.23159205597193647,0.05366510587735676,2.03121340753206,0.05373634722573188,0.0181187471723179,0.23632995543836668,0.04975211950288661,1.989261944835691,0.06467077525547299
8,0.017890898336034678,0.23268486370130295,0.050972418480705044,1.9926413974098003,0.04959265278507494,0.016803078965131623,0.22410828379999057,0.05034536442871707,1.9952565971712004,0.08070190170974578
9,0.017421550705751788,0.2320350825183603,0.04944760508769149,1.9738905497354733,0.04803397635312566,0.015114069958130052,0.2607701757258608,0.051905695324009606,1.916577758442301,0.06299089880075914
10,0.016970440337197835,0.23254254213147285,0.04775262682201795,1.95034691602511,0.04537855709925414,0.016591751938635838,0.22319330748959618,0.04957727768805487,2.001009462705886,0.07831262902983392
11,0.016588334294395577,0.2345277283792621,0.04555362172271237,1.9147197579310822,0.04179248344602598,0.017682734760143683,0.2362990259385141,0.0475059857681873,1.938393532990131,0.0518949529600527
12,0.01614829634923935,0.2355259602262711,0.043934715898949706,1.8895593946724731,0.03952353629445902,0.018058772587427125,0.23675730438957904,0.04191256718942271,1.8470770203715674,0.050198441735860806
13,0.015847102433833825,0.2343983256680037,0.04341213246301845,1.8856743511421752,0.039446479733284294,0.016958916917800323,0.23959646648140598,0.04777928485957052,1.843380261522196,0.048881412371393825
14,0.015538507875166809,0.23437302634020113,0.04190185227435726,1.864988219512292,0.03656625612851122,0.014422390404926369,0.24185651907292832,0.03940815059842677,1.7924699531243888,0.047064931478960584
15,0.01525960434841469,0.23417733122292536,0.04087597825570686,1.85315198419321,0.03512940606746533,0.013940263152229862,0.23889385499859145,0.03998645994782288,1.7947161410992651,0.045224925028734486
16,0.014983987531124742,0.23451573103067064,0.040315128201662484,1.8445849633268792,0.03475157831653194,0.016129002508759777,0.2538316164904801,0.03778225258704345,1.5786299502561942,0.04456409520342267
17,0.014819575771726868,0.23333951420258062,0.04019915037922656,1.8476871513030004,0.03613050267020435,0.015393784824301846,0.2396906293658964,0.04042453798540336,1.7864577233711452,0.04489057984492734
18,0.014570072455108215,0.23593430876627006,0.0387858843032006,1.8191647583933361,0.03273784218420931,0.01389287789626891,0.26127505374837656,0.0430788882064256,1.8027333616411398,0.07000845850472795
19,0.01434752594090651,0.23629992174349185,0.037948158329000684,1.806829080934419,0.03157802216768584,0.012194178535930073,0.2416762067978807,0.035527270367174305,1.7927842715470466,0.041973908329457445
20,0.014197868923906327,0.23656674219924587,0.03735978524799861,1.797421976025079,0.030866643119273812,0.014947902095059667,0.2435475514437654,0.03988883116135209,1.7757629560002053,0.0384121744945925
21,0.014037406219334289,0.23687803699577542,0.0371123421634485,1.7925750621801726,0.03032576403613065,0.012629060174560738,0.20396900985979202,0.06883080542492044,2.2323175788564913,0.15186664462089539
22,0.013882553161979571,0.23591265690215832,0.0365165231224142,1.7876391266310343,0.029904883374877015,0.014310663397768488,0.2606328196758679,0.0354795503653536,1.7532665412723218,0.041031592972476744
23,0.01374291702021967,0.23706113985782096,0.036134972459269596,1.7788750784466638,0.02898962030701599,0.014826371539546421,0.24090090948818677,0.035747483256585076,1.7121169106889986,0.03712580418938286
24,0.013598271946085058,0.2370506018692323,0.03556122081887961,1.771121075062266,0.02833247439431441,0.012364013943866135,0.25327922985077544,0.03444912057462331,1.7334069980373332,0.03935655372232279
